378, 2.737, 3.49, 3.55,  *,  *,  *,  *, 
379, 2.742, 3.5, 3.56,  *,  *,  *,  *, 
380, 2.748, 3.51, 3.55,  *,  *,  *,  *, 
381, 2.757, 3.49, 3.55,  *,  *,  *,  *, 
382, 2.764, 3.5, 3.56,  *,  *,  *,  *, 
383, 2.769, 3.51, 3.56,  *,  *,  *,  *, 
384, 2.776, 3.49, 3.55,  *,  *,  *,  *, 
385, 2.785, 3.51, 3.56,  *,  *,  *,  *, 
386, 2.794, 3.5, 3.55,  *,  *,  *,  *, 
387, 2.797, 3.49, 3.55,  *,  *,  *,  *, 
388, 2.807, 3.51, 3.56,  *,  *,  *,  *, 
389, 2.815, 3.49, 3.55,  *,  *,  *,  *, 
390, 2.821, 3.49, 3.55,  *,  *,  *,  *, 
391, 2.825, 3.51, 3.56,  *,  *,  *,  *, 
392, 2.835, 3.49, 3.55,  *,  *,  *,  *, 
393, 2.843, 3.5, 3.56,  *,  *,  *,  *, 
394, 2.852, 3.5, 3.55,  *,  *,  *,  *, 
395, 2.859, 3.49, 3.55,  *,  *,  *,  *, 
396, 2.868, 3.51, 3.56,  *,  *,  *,  *, 
397, 2.876, 3.49, 3.55,  *,  *,  *,  *, 
398, 2.88, 3.5, 3.56,  *,  *,  *,  *, 
399, 2.888, 3.51, 3.56,  *,  *,  *,  *, 
400, 2.897, 3.49, 3.55,  *,  *,  *,  *, 
401, 2.905, 3.5, 3.56,  *,  *,  *,  *, 
402, 2.909, 3.5, 3.55,  *,  *,  *,  *, 
403, 2.917, 3.49, 3.55,  *,  *,  *,  *, 
404, 2.924, 3.5, 3.56,  *,  *,  *,  *, 
405, 2.933, 3.5, 3.56,  *,  *,  *,  *, 
406, 2.938, 3.49, 3.55,  *,  *,  *,  *, 
407, 2.945, 3.51, 3.56,  *,  *,  *,  *, 
408, 2.952, 3.49, 3.55,  *,  *,  *,  *, 
409, 2.962, 3.5, 3.55,  *,  *,  *,  *, 
410, 2.965, 3.51, 3.56,  *,  *,  *,  *, 
411, 2.973, 3.49, 3.55,  *,  *,  *,  *, 
412, 2.983, 3.49, 3.56,  *,  *,  *,  *, 
413, 2.99, 3.51, 3.56,  *,  *,  *,  *, 
414, 2.993, 3.49, 3.55,  *,  *,  *,  *, 
415, 3.001, 3.5, 3.56,  *,  *,  *,  *, 
416, 3.011, 3.51, 3.56,  *,  *,  *,  *, 
417, 3.019, 3.48, 3.55,  *,  *,  *,  *, 
418, 3.023, 3.51, 3.56,  *,  *,  *,  *, 
419, 3.03, 3.5, 3.55,  *,  *,  *,  *, 
420, 3.038, 3.49, 3.55,  *,  *,  *,  *, 
421, 3.047, 3.51, 3.56,  *,  *,  *,  *, 
422, 3.05, 3.49, 3.55,  *,  *,  *,  *, 
423, 3.058, 3.49, 3.55,  *,  *,  *,  *, 
424, 3.067, 3.51, 3.56,  *,  *,  *,  *, 
425, 3.077, 3.49, 3.55,  *,  *,  *,  *, 
426, 3.084, 3.51, 3.56,  *,  *,  *,  *, 
427, 3.092, 3.5, 3.55,  *,  *,  *,  *, 
428, 3.1, 3.49, 3.55,  *,  *,  *,  *, 
429, 3.105, 3.51, 3.56,  *,  *,  *,  *, 
430, 3.112, 3.49, 3.55,  *,  *,  *,  *, 
431, 3.122, 3.49, 3.56,  *,  *,  *,  *, 
432, 3.13, 3.51, 3.55,  *,  *,  *,  *, 
433, 3.134, 3.49, 3.55,  *,  *,  *,  *, 
434, 3.141, 3.5, 3.55,  *,  *,  *,  *, 
435, 3.149, 3.51, 3.55,  *,  *,  *,  *, 
436, 3.157, 3.49, 3.55,  *,  *,  *,  *, 
437, 3.162, 3.51, 3.56,  *,  *,  *,  *, 
438, 3.169, 3.51, 3.56,  *,  *,  *,  *, 
439, 3.177, 3.49, 3.55,  *,  *,  *,  *, 
440, 3.186, 3.51, 3.56,  *,  *,  *,  *, 
441, 3.19, 3.49, 3.55,  *,  *,  *,  *, 
442, 3.198, 3.49, 3.55,  *,  *,  *,  *, 
443, 3.207, 3.51, 3.56,  *,  *,  *,  *, 
444, 3.215, 3.49, 3.55,  *,  *,  *,  *, 
445, 3.219, 3.5, 3.55,  *,  *,  *,  *, 
446, 3.226, 3.51, 3.56,  *,  *,  *,  *, 
447, 3.236, 3.49, 3.55,  *,  *,  *,  *, 
448, 3.242, 3.5, 3.56,  *,  *,  *,  *, 
449, 3.249, 3.51, 3.56,  *,  *,  *,  *, 
450, 3.256, 3.49, 3.55,  *,  *,  *,  *, 
451, 3.265, 3.51, 3.56,  *,  *,  *,  *, 
